CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
break_and_enter,2015,January,5,Monday,9,House,104,Mount Pleasant West (104),-79.3969378826118,43.702588705131,2015-01-05 09:00:00-0500
break_and_enter,2015,January,5,Monday,12,Commercial,14,Islington-City Centre West (14),-79.5220356082923,43.6459195783928,2015-01-05 12:00:00-0500
break_and_enter,2015,January,5,Monday,8,Commercial,26,Downsview-Roding-CFB (26),-79.5100682515695,43.7177090288019,2015-01-05 08:00:00-0500
break_and_enter,2015,January,5,Monday,4,Apartment,75,Church-Yonge Corridor (75),-79.3749430758467,43.6511794364646,2015-01-05 04:00:00-0500
break_and_enter,2015,January,5,Monday,3,Apartment,119,Wexford/Maryvale (119),-79.2933947898242,43.7703444816386,2015-01-05 03:00:00-0500
break_and_enter,2015,January,3,Saturday,1,Apartment,75,Church-Yonge Corridor (75),-79.3798206470348,43.6668456650194,2015-01-03 01:00:00-0500
break_and_enter,2015,January,4,Sunday,22,Commercial,26,Downsview-Roding-CFB (26),-79.5191454260035,43.7185932046842,2015-01-04 22:00:00-0500
break_and_enter,2015,January,4,Sunday,12,House,32,Englemount-Lawrence (32),-79.4377771769445,43.7158965005671,2015-01-04 12:00:00-0500
break_and_enter,2015,January,5,Monday,5,Commercial,85,South Parkdale (85),-79.4341735837092,43.6410856524859,2015-01-05 05:00:00-0500
break_and_enter,2015,January,5,Monday,6,Commercial,105,Lawrence Park North (105),-79.4043924867215,43.733658678743,2015-01-05 06:00:00-0500
break_and_enter,2015,January,5,Monday,6,Commercial,26,Downsview-Roding-CFB (26),-79.5100682515695,43.7177090288019,2015-01-05 06:00:00-0500
break_and_enter,2015,January,5,Monday,9,Apartment,75,Church-Yonge Corridor (75),-79.382401296975,43.6613682396022,2015-01-05 09:00:00-0500
break_and_enter,2015,January,5,Monday,0,Commercial,17,Mimico (includes Humber Bay Shores) (17),-79.499583901186,43.6190571441966,2015-01-05 00:00:00-0500
break_and_enter,2015,January,5,Monday,9,House,3,Thistletown-Beaumond Heights (3),-79.5783520342009,43.7376407669603,2015-01-05 09:00:00-0500
break_and_enter,2015,January,5,Monday,5,Commercial,90,Junction Area (90),-79.4829392021732,43.6702083485181,2015-01-05 05:00:00-0500
break_and_enter,2015,January,5,Monday,1,Commercial,84,Little Portugal (84),-79.4325122717452,43.6500844936016,2015-01-05 01:00:00-0500
break_and_enter,2015,January,5,Monday,11,House,14,Islington-City Centre West (14),-79.5361265095257,43.6506128675057,2015-01-05 11:00:00-0500
break_and_enter,2015,January,5,Monday,11,House,40,St.Andrew-Windfields (40),-79.3708382834959,43.757735658055,2015-01-05 11:00:00-0500
break_and_enter,2015,January,5,Monday,17,Commercial,121,Oakridge (121),-79.2807507926972,43.6929022246301,2015-01-05 17:00:00-0500
break_and_enter,2015,January,5,Monday,11,House,34,Bathurst Manor (34),-79.4503527065342,43.7590878424664,2015-01-05 11:00:00-0500
break_and_enter,2015,January,5,Monday,8,Apartment,120,Clairlea-Birchmount (120),-79.2769909486478,43.7023905891261,2015-01-05 08:00:00-0500
break_and_enter,2015,January,5,Monday,18,House,73,Moss Park (73),-79.3686975851061,43.662467661024,2015-01-05 18:00:00-0500
break_and_enter,2015,January,6,Tuesday,2,Commercial,4,Rexdale-Kipling (4),-79.5568615563729,43.7140016115874,2015-01-06 02:00:00-0500
break_and_enter,2015,January,6,Tuesday,2,Apartment,72,Regent Park (72),-79.3647697563659,43.6604417119691,2015-01-06 02:00:00-0500
break_and_enter,2015,January,5,Monday,16,Commercial,110,Keelesdale-Eglinton West (110),-79.4837225304497,43.6881688068803,2015-01-05 16:00:00-0500
break_and_enter,2015,January,6,Tuesday,19,House,137,Woburn (137),-79.2412522580886,43.764651276562,2015-01-06 19:00:00-0500
break_and_enter,2015,January,6,Tuesday,8,House,107,Oakwood Village (107),-79.4315192123694,43.6826301692631,2015-01-06 08:00:00-0500
break_and_enter,2015,January,6,Tuesday,13,Apartment,138,Eglinton East (138),-79.2392943281095,43.7405839694138,2015-01-06 13:00:00-0500
break_and_enter,2015,January,6,Tuesday,16,House,118,Tam O'Shanter-Sullivan (118),-79.3169862630085,43.7786160013875,2015-01-06 16:00:00-0500
break_and_enter,2015,January,6,Tuesday,11,Apartment,127,Bendale (127),-79.2433570143952,43.7546971380202,2015-01-06 11:00:00-0500
break_and_enter,2015,January,6,Tuesday,13,Other,77,Waterfront Communities-The Island (77),-79.3960093756818,43.6462371224925,2015-01-06 13:00:00-0500
break_and_enter,2015,January,6,Tuesday,11,Apartment,127,Bendale (127),-79.2433570143952,43.7546971380202,2015-01-06 11:00:00-0500
break_and_enter,2015,January,6,Tuesday,14,Apartment,35,Westminster-Branson (35),-79.454114022957,43.7774669879978,2015-01-06 14:00:00-0500
break_and_enter,2015,January,5,Monday,22,Apartment,136,West Hill (136),-79.1880739975143,43.7672636737577,2015-01-05 22:00:00-0500
break_and_enter,2015,January,5,Monday,18,House,104,Mount Pleasant West (104),-79.3921897389938,43.7020577968915,2015-01-05 18:00:00-0500
break_and_enter,2015,January,6,Tuesday,6,Apartment,77,Waterfront Communities-The Island (77),-79.3752812852346,43.646355395441,2015-01-06 06:00:00-0500
break_and_enter,2015,January,5,Monday,19,Commercial,84,Little Portugal (84),-79.4298253416354,43.6495783747694,2015-01-05 19:00:00-0500
break_and_enter,2015,January,6,Tuesday,4,Commercial,80,Palmerston-Little Italy (80),-79.4202702204946,43.6549047428439,2015-01-06 04:00:00-0500
break_and_enter,2015,January,6,Tuesday,0,Apartment,126,Dorset Park (126),-79.2675327529515,43.7491195617106,2015-01-06 00:00:00-0500
break_and_enter,2015,January,7,Wednesday,7,House,132,Malvern (132),-79.2356066128372,43.7973715135399,2015-01-07 07:00:00-0500
break_and_enter,2015,January,7,Wednesday,12,House,130,Milliken (130),-79.2825373709207,43.8220565088005,2015-01-07 12:00:00-0500
break_and_enter,2015,January,7,Wednesday,8,Apartment,95,Annex (95),-79.4071191231072,43.6748511460388,2015-01-07 08:00:00-0500
break_and_enter,2015,January,7,Wednesday,21,Apartment,121,Oakridge (121),-79.2858116862747,43.6952150366659,2015-01-07 21:00:00-0500
break_and_enter,2015,January,7,Wednesday,8,Apartment,49,Bayview Woods-Steeles (49),-79.389939997131,43.7890356982566,2015-01-07 08:00:00-0500
break_and_enter,2015,January,6,Tuesday,8,Apartment,127,Bendale (127),-79.2433570143952,43.7546971380202,2015-01-06 08:00:00-0500
break_and_enter,2015,January,6,Tuesday,17,Commercial,1,West Humber-Clairville (1),-79.5758739370137,43.7189145157641,2015-01-06 17:00:00-0500
break_and_enter,2015,January,6,Tuesday,13,Commercial,95,Annex (95),-79.4167265348149,43.6643738266064,2015-01-06 13:00:00-0500
break_and_enter,2015,January,7,Wednesday,2,Commercial,70,South Riverdale (70),-79.326212580757,43.6641677983493,2015-01-07 02:00:00-0500
break_and_enter,2015,January,7,Wednesday,4,Commercial,95,Annex (95),-79.3926973216435,43.6711796263541,2015-01-07 04:00:00-0500
break_and_enter,2015,January,7,Wednesday,3,Apartment,111,Rockcliffe-Smythe (111),-79.5028797860531,43.6707971543839,2015-01-07 03:00:00-0500
break_and_enter,2015,January,7,Wednesday,6,Commercial,50,Newtonbrook East (50),-79.418357311669,43.7911674596272,2015-01-07 06:00:00-0500
break_and_enter,2015,January,4,Sunday,17,Apartment,68,North Riverdale (68),-79.3445155005861,43.6781370834317,2015-01-04 17:00:00-0500
break_and_enter,2015,January,7,Wednesday,11,House,40,St.Andrew-Windfields (40),-79.3655521455876,43.7612921711611,2015-01-07 11:00:00-0500
break_and_enter,2015,January,7,Wednesday,9,House,129,Agincourt North (129),-79.2629065638675,43.8016029326892,2015-01-07 09:00:00-0500
break_and_enter,2015,January,7,Wednesday,14,Commercial,76,Bay Street Corridor (76),-79.3863802874808,43.6678693541954,2015-01-07 14:00:00-0500
break_and_enter,2015,January,7,Wednesday,23,Commercial,87,High Park-Swansea (87),-79.4513859299142,43.6507439477259,2015-01-07 23:00:00-0500
break_and_enter,2015,January,7,Wednesday,22,House,61,Taylor-Massey (61),-79.3011683998405,43.695598044472,2015-01-07 22:00:00-0500
break_and_enter,2015,January,7,Wednesday,14,Apartment,82,Niagara (82),-79.4159136127034,43.6390159574205,2015-01-07 14:00:00-0500
break_and_enter,2015,January,8,Thursday,1,Commercial,34,Bathurst Manor (34),-79.4577486742481,43.7528450367219,2015-01-08 01:00:00-0500
break_and_enter,2015,January,8,Thursday,0,Commercial,33,Clanton Park (33),-79.4384779660677,43.7554521920272,2015-01-08 00:00:00-0500
break_and_enter,2015,January,8,Thursday,3,Commercial,76,Bay Street Corridor (76),-79.3837023902441,43.6612460366714,2015-01-08 03:00:00-0500
break_and_enter,2015,January,8,Thursday,3,Commercial,13,Etobicoke West Mall (13),-79.5681738406246,43.6443254246869,2015-01-08 03:00:00-0500
break_and_enter,2015,January,8,Thursday,14,Apartment,22,Humbermede (22),-79.5394509708774,43.7389832840931,2015-01-08 14:00:00-0500
break_and_enter,2015,January,8,Thursday,14,House,27,York University Heights (27),-79.4922751600941,43.7529302752192,2015-01-08 14:00:00-0500
break_and_enter,2015,January,8,Thursday,12,House,47,Don Valley Village (47),-79.3493671155432,43.7856902252573,2015-01-08 12:00:00-0500
break_and_enter,2015,January,8,Thursday,8,House,137,Woburn (137),-79.217373556709,43.7829867644802,2015-01-08 08:00:00-0500
break_and_enter,2015,January,2,Friday,1,Commercial,93,Dovercourt-Wallace Emerson-Junction (93),-79.4377891722481,43.6686607237014,2015-01-02 01:00:00-0500
break_and_enter,2015,January,7,Wednesday,14,Apartment,82,Niagara (82),-79.4159136127034,43.6390159574205,2015-01-07 14:00:00-0500
break_and_enter,2015,January,8,Thursday,11,Commercial,76,Bay Street Corridor (76),-79.3882379098635,43.6611338579568,2015-01-08 11:00:00-0500
break_and_enter,2015,January,8,Thursday,16,Other,106,Humewood-Cedarvale (106),-79.4214327561316,43.6860664415962,2015-01-08 16:00:00-0500
break_and_enter,2015,January,8,Thursday,17,Apartment,71,Cabbagetown-South St.James Town (71),-79.3749292402446,43.6643232733062,2015-01-08 17:00:00-0500
break_and_enter,2015,January,9,Friday,5,Commercial,14,Islington-City Centre West (14),-79.5174181106493,43.6300299538009,2015-01-09 05:00:00-0500
break_and_enter,2015,January,9,Friday,0,Commercial,81,Trinity-Bellwoods (81),-79.4066856233598,43.647060909068,2015-01-09 00:00:00-0500
break_and_enter,2015,January,9,Friday,9,Apartment,73,Moss Park (73),-79.3679041748249,43.6572171847607,2015-01-09 09:00:00-0500
break_and_enter,2015,January,9,Friday,0,Apartment,2,Mount Olive-Silverstone-Jamestown (2),-79.5859530045781,43.7437525293452,2015-01-09 00:00:00-0500
break_and_enter,2015,January,9,Friday,10,House,21,Humber Summit (21),-79.5749707197021,43.7543225263335,2015-01-09 10:00:00-0500
