CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
bicycle_theft,2018,March,5,Monday,9,Apartment,88,High Park North (88),-79.4569697111879,43.6558171343333,2018-03-05 09:00:00
bicycle_theft,2018,March,4,Sunday,17,Apartment,90,Junction Area (90),-79.4637846099946,43.6666235722121,2018-03-04 17:00:00
bicycle_theft,2018,March,5,Monday,9,Educational,56,Leaside-Bennington (56),-79.37147547595,43.7110215080861,2018-03-05 09:00:00
bicycle_theft,2018,February,23,Friday,0,Apartment,17,Mimico (includes Humber Bay Shores) (17),-79.4893024920208,43.6150501360668,2018-02-23 00:00:00
bicycle_theft,2018,March,7,Wednesday,14,Outside,76,Bay Street Corridor (76),-79.3841540266399,43.6638977699362,2018-03-07 14:00:00
bicycle_theft,2018,March,7,Wednesday,5,Commercial,42,Banbury-Don Mills (42),-79.3433740554113,43.7276442691312,2018-03-07 05:00:00
bicycle_theft,2018,February,23,Friday,0,Apartment,17,Mimico (includes Humber Bay Shores) (17),-79.4893024920208,43.6150501360668,2018-02-23 00:00:00
bicycle_theft,2018,March,8,Thursday,5,Commercial,93,Dovercourt-Wallace Emerson-Junction (93),-79.4303590494143,43.6701819474201,2018-03-08 05:00:00
bicycle_theft,2018,March,8,Thursday,17,Commercial,95,Annex (95),-79.4114109939293,43.6656369139361,2018-03-08 17:00:00
bicycle_theft,2018,March,8,Thursday,16,Educational,79,University (79),-79.3969339562591,43.6604404122784,2018-03-08 16:00:00
bicycle_theft,2018,March,9,Friday,0,Outside,76,Bay Street Corridor (76),-79.3837625531538,43.6557097782262,2018-03-09 00:00:00
bicycle_theft,2018,March,2,Friday,17,Other,95,Annex (95),-79.3960834643573,43.6707845627526,2018-03-02 17:00:00
bicycle_theft,2018,March,9,Friday,14,Apartment,73,Moss Park (73),-79.3696275644209,43.6571935544046,2018-03-09 14:00:00
bicycle_theft,2018,March,2,Friday,15,Apartment,77,Waterfront Communities-The Island (77),-79.3924308936615,43.6390157484415,2018-03-02 15:00:00
bicycle_theft,2018,February,25,Sunday,8,Apartment,77,Waterfront Communities-The Island (77),-79.3909007552164,43.647721918017,2018-02-25 08:00:00
bicycle_theft,2018,March,12,Monday,2,House,70,South Riverdale (70),-79.3492725337109,43.6657048946032,2018-03-12 02:00:00
bicycle_theft,2018,March,6,Tuesday,17,Apartment,74,North St.James Town (74),-79.3758492709374,43.66648008921,2018-03-06 17:00:00
bicycle_theft,2018,March,12,Monday,8,Outside,76,Bay Street Corridor (76),-79.3809227673582,43.6563225842995,2018-03-12 08:00:00
bicycle_theft,2018,March,12,Monday,7,Commercial,17,Mimico (includes Humber Bay Shores) (17),-79.4813454031897,43.6227840689356,2018-03-12 07:00:00
bicycle_theft,2018,March,10,Saturday,4,Commercial,85,South Parkdale (85),-79.4398595932486,43.6399449809625,2018-03-10 04:00:00
bicycle_theft,2018,March,10,Saturday,17,Outside,100,Yonge-Eglinton (100),-79.3968575715043,43.69932585785,2018-03-10 17:00:00
bicycle_theft,2018,March,9,Friday,19,Outside,93,Dovercourt-Wallace Emerson-Junction (93),-79.4318439027401,43.6610797197308,2018-03-09 19:00:00
bicycle_theft,2018,March,10,Saturday,17,Outside,100,Yonge-Eglinton (100),-79.3968575715043,43.69932585785,2018-03-10 17:00:00
bicycle_theft,2018,March,2,Friday,1,House,87,High Park-Swansea (87),-79.451276392006,43.6406546089345,2018-03-02 01:00:00
bicycle_theft,2018,March,9,Friday,22,Other,64,Woodbine Corridor (64),-79.3170211196936,43.6746490345768,2018-03-09 22:00:00
bicycle_theft,2018,March,2,Friday,1,House,87,High Park-Swansea (87),-79.451276392006,43.6406546089345,2018-03-02 01:00:00
bicycle_theft,2018,March,14,Wednesday,19,Outside,78,Kensington-Chinatown (78),-79.4005025589178,43.6570848540294,2018-03-14 19:00:00
bicycle_theft,2017,August,15,Tuesday,12,Commercial,54,O'Connor-Parkview (54),-79.3170039879443,43.7089384913972,2017-08-15 12:00:00
bicycle_theft,2018,March,15,Thursday,8,Other,64,Woodbine Corridor (64),-79.3127787837567,43.6823245919164,2018-03-15 08:00:00
bicycle_theft,2018,March,10,Saturday,20,Other,105,Lawrence Park North (105),-79.4095082933027,43.7255626646539,2018-03-10 20:00:00
bicycle_theft,2018,March,13,Tuesday,18,Outside,93,Dovercourt-Wallace Emerson-Junction (93),-79.4390322472057,43.6684586560351,2018-03-13 18:00:00
bicycle_theft,2018,March,16,Friday,0,House,93,Dovercourt-Wallace Emerson-Junction (93),-79.4325742300148,43.669254121738,2018-03-16 00:00:00
bicycle_theft,2018,January,1,Monday,18,Apartment,77,Waterfront Communities-The Island (77),-79.3988626266637,43.6381169718995,2018-01-01 18:00:00
bicycle_theft,2018,March,12,Monday,7,Apartment,17,Mimico (includes Humber Bay Shores) (17),-79.4813454031897,43.6227840689356,2018-03-12 07:00:00
bicycle_theft,2018,March,17,Saturday,9,Outside,78,Kensington-Chinatown (78),-79.398547614909,43.6486749947715,2018-03-17 09:00:00
bicycle_theft,2018,March,15,Thursday,11,Outside,90,Junction Area (90),-79.4657421727706,43.6696592118795,2018-03-15 11:00:00
bicycle_theft,2017,October,10,Tuesday,16,Outside,75,Church-Yonge Corridor (75),-79.3803110983711,43.656453806685,2017-10-10 16:00:00
bicycle_theft,2018,March,17,Saturday,18,Other,93,Dovercourt-Wallace Emerson-Junction (93),-79.435251805514,43.6627918774947,2018-03-17 18:00:00
bicycle_theft,2018,March,3,Saturday,9,House,11,Eringate-Centennial-West Deane (11),-79.5746896092083,43.6437034794988,2018-03-03 09:00:00
bicycle_theft,2018,March,17,Saturday,0,Other,63,The Beaches (63),-79.2860214709341,43.6780054251059,2018-03-17 00:00:00
bicycle_theft,2018,March,16,Friday,0,Other,106,Humewood-Cedarvale (106),-79.4234160618447,43.6827274074854,2018-03-16 00:00:00
bicycle_theft,2018,March,17,Saturday,0,Other,63,The Beaches (63),-79.2860214709341,43.6780054251059,2018-03-17 00:00:00
bicycle_theft,2018,March,17,Saturday,0,Other,63,The Beaches (63),-79.2860214709341,43.6780054251059,2018-03-17 00:00:00
bicycle_theft,2016,December,28,Wednesday,18,House,34,Bathurst Manor (34),-79.4599251372929,43.76406918373,2016-12-28 18:00:00
bicycle_theft,2018,March,17,Saturday,21,House,84,Little Portugal (84),-79.4268984122917,43.6450775181181,2018-03-17 21:00:00
bicycle_theft,2018,March,17,Saturday,14,Apartment,79,University (79),-79.4024110325418,43.6638460117953,2018-03-17 14:00:00
bicycle_theft,2018,February,24,Saturday,18,Apartment,86,Roncesvalles (86),-79.4328784998008,43.6428054326225,2018-02-24 18:00:00
