CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_DATETIME
robbery,2015,January,6,Tuesday,0,Commercial,127,Bendale (127),-79.2624563169276,43.752059403335,2015-01-06 00:00:00
robbery,2015,January,6,Tuesday,18,Outside,134,Highland Creek (134),-79.1785829559191,43.7857405899143,2015-01-06 18:00:00
robbery,2015,January,6,Tuesday,13,Outside,85,South Parkdale (85),-79.4318681772071,43.6380183023683,2015-01-06 13:00:00
robbery,2015,January,7,Wednesday,19,House,11,Eringate-Centennial-West Deane (11),-79.5634940907043,43.6598563081229,2015-01-07 19:00:00
robbery,2015,January,6,Tuesday,12,Educational,42,Banbury-Don Mills (42),-79.3368458884812,43.7362281325713,2015-01-06 12:00:00
robbery,2015,January,7,Wednesday,8,Commercial,74,North St.James Town (74),-79.3762434817923,43.6707866671667,2015-01-07 08:00:00
robbery,2015,January,7,Wednesday,17,Outside,93,Dovercourt-Wallace Emerson-Junction (93),-79.4226835639842,43.6642091300819,2015-01-07 17:00:00
robbery,2015,January,6,Tuesday,20,Apartment,112,Beechborough-Greenbrook (112),-79.4817741443798,43.6924552800339,2015-01-06 20:00:00
robbery,2015,January,7,Wednesday,8,Commercial,74,North St.James Town (74),-79.3762434817923,43.6707866671667,2015-01-07 08:00:00
robbery,2015,January,8,Thursday,16,Educational,23,Pelmo Park-Humberlea (23),-79.5332258871627,43.7268661671642,2015-01-08 16:00:00
robbery,2015,January,8,Thursday,2,Outside,81,Trinity-Bellwoods (81),-79.4247478444767,43.6494316977203,2015-01-08 02:00:00
robbery,2015,January,8,Thursday,11,Commercial,14,Islington-City Centre West (14),-79.5395526424705,43.6408866472787,2015-01-08 11:00:00
robbery,2015,January,8,Thursday,13,Commercial,120,Clairlea-Birchmount (120),-79.2872745185364,43.7269310987218,2015-01-08 13:00:00
robbery,2015,January,8,Thursday,16,Educational,23,Pelmo Park-Humberlea (23),-79.5332258871627,43.7268661671642,2015-01-08 16:00:00
robbery,2015,January,8,Thursday,18,Apartment,75,Church-Yonge Corridor (75),-79.3808316741335,43.6593542447594,2015-01-08 18:00:00
robbery,2015,January,8,Thursday,16,Outside,23,Pelmo Park-Humberlea (23),-79.5332258871627,43.7268661671642,2015-01-08 16:00:00
robbery,2015,January,8,Thursday,13,Commercial,120,Clairlea-Birchmount (120),-79.2872745185364,43.7269310987218,2015-01-08 13:00:00
robbery,2015,January,8,Thursday,16,Outside,23,Pelmo Park-Humberlea (23),-79.5332258871627,43.7268661671642,2015-01-08 16:00:00
robbery,2015,January,8,Thursday,16,Educational,23,Pelmo Park-Humberlea (23),-79.5332258871627,43.7268661671642,2015-01-08 16:00:00
robbery,2015,January,9,Friday,0,Outside,1,West Humber-Clairville (1),-79.616925680866,43.7237458676236,2015-01-09 00:00:00
robbery,2015,January,9,Friday,19,Commercial,73,Moss Park (73),-79.3710284454984,43.6582885117532,2015-01-09 19:00:00
robbery,2015,January,9,Friday,19,Commercial,73,Moss Park (73),-79.3710284454984,43.6582885117532,2015-01-09 19:00:00
robbery,2015,January,10,Saturday,21,Transit,76,Bay Street Corridor (76),-79.3872859263433,43.6502522691534,2015-01-10 21:00:00
robbery,2015,January,10,Saturday,21,Outside,120,Clairlea-Birchmount (120),-79.271113772015,43.7141520985682,2015-01-10 21:00:00
robbery,2015,January,9,Friday,11,Educational,112,Beechborough-Greenbrook (112),-79.4861026860151,43.694605614963,2015-01-09 11:00:00
robbery,2015,January,11,Sunday,4,Outside,51,Willowdale East (51),-79.4131910470889,43.7769195136504,2015-01-11 04:00:00
