CRIME,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,OCC_TIMESTAMP
shooting,2015,January,8,Thursday,13,N/A,120,Clairlea-Birchmount (120),-79.2872745185364,43.7269310987218,2015-01-08 13:00:00-0500
shooting,2015,April,29,Wednesday,11,N/A,132,Malvern (132),-79.2112059259499,43.8118508205917,2015-04-29 11:00:00-0500
shooting,2015,April,30,Thursday,19,N/A,47,Don Valley Village (47),-79.3424768104663,43.7818353413959,2015-04-30 19:00:00-0500
shooting,2015,June,12,Friday,13,N/A,25,Glenfield-Jane Heights (25),-79.5092992016922,43.7383048438255,2015-06-12 13:00:00-0500
shooting,2015,April,25,Saturday,22,N/A,31,Yorkdale-Glen Park (31),-79.4483896908086,43.7222467008896,2015-04-25 22:00:00-0500
shooting,2015,July,30,Thursday,20,N/A,126,Dorset Park (126),-79.2794542892007,43.7612921978828,2015-07-30 20:00:00-0500
shooting,2015,October,23,Friday,22,N/A,87,High Park-Swansea (87),-79.4466755233818,43.6401934379473,2015-10-23 22:00:00-0500
shooting,2015,June,2,Tuesday,21,N/A,107,Oakwood Village (107),-79.4443347821241,43.694439381286,2015-06-02 21:00:00-0500
shooting,2015,December,26,Saturday,4,N/A,114,Lambton Baby Point (114),-79.5021892272671,43.6642794898081,2015-12-26 04:00:00-0500
shooting,2015,June,29,Monday,23,N/A,24,Black Creek (24),-79.5196851774208,43.7659026187864,2015-06-29 23:00:00-0500
shooting,2015,October,4,Sunday,6,N/A,13,Etobicoke West Mall (13),-79.5703139729914,43.6519291073856,2015-10-04 06:00:00-0500
shooting,2015,December,12,Saturday,20,N/A,112,Beechborough-Greenbrook (112),-79.4694313676767,43.6914207918502,2015-12-12 20:00:00-0500
shooting,2015,January,1,Thursday,2,N/A,75,Church-Yonge Corridor (75),-79.374602246261,43.6491567708774,2015-01-01 02:00:00-0500
shooting,2015,May,17,Sunday,12,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5928189836525,43.7390723969285,2015-05-17 12:00:00-0500
shooting,2015,September,21,Monday,13,N/A,29,Maple Leaf (29),-79.4775329500451,43.7114794679922,2015-09-21 13:00:00-0500
shooting,2015,January,15,Thursday,18,N/A,107,Oakwood Village (107),-79.445205292817,43.6967813033918,2015-01-15 18:00:00-0500
shooting,2015,March,30,Monday,23,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5838009938212,43.7344785840102,2015-03-30 23:00:00-0500
shooting,2015,February,28,Saturday,13,N/A,121,Oakridge (121),-79.2768682130957,43.7021003564461,2015-02-28 13:00:00-0500
shooting,2015,November,10,Tuesday,20,N/A,24,Black Creek (24),-79.5152277778151,43.7681488158175,2015-11-10 20:00:00-0500
shooting,2015,February,4,Wednesday,2,N/A,132,Malvern (132),-79.2349281912688,43.7946560730335,2015-02-04 02:00:00-0500
shooting,2015,June,4,Thursday,14,N/A,131,Rouge (131),-79.1784671154025,43.8045320587935,2015-06-04 14:00:00-0500
shooting,2015,July,14,Tuesday,0,N/A,26,Downsview-Roding-CFB (26),-79.4993871622469,43.7227757959812,2015-07-14 00:00:00-0500
shooting,2015,August,20,Thursday,23,N/A,30,Brookhaven-Amesbury (30),-79.4787395622412,43.7017115582709,2015-08-20 23:00:00-0500
shooting,2015,December,29,Tuesday,0,N/A,24,Black Creek (24),-79.5196851774208,43.7659026187864,2015-12-29 00:00:00-0500
shooting,2015,May,7,Thursday,20,N/A,117,L'Amoreaux (117),-79.3336297016669,43.7980450416744,2015-05-07 20:00:00-0500
shooting,2015,August,4,Tuesday,3,N/A,82,Niagara (82),-79.4226228753772,43.6327429005917,2015-08-04 03:00:00-0500
shooting,2015,April,4,Saturday,17,N/A,78,Kensington-Chinatown (78),-79.3894857458879,43.6575233770889,2015-04-04 17:00:00-0500
shooting,2015,July,24,Friday,3,N/A,121,Oakridge (121),-79.2769909486478,43.7023905891261,2015-07-24 03:00:00-0500
shooting,2015,January,31,Saturday,4,N/A,78,Kensington-Chinatown (78),-79.4054506282175,43.6508829107405,2015-01-31 04:00:00-0500
shooting,2015,June,26,Friday,23,N/A,118,Tam O'Shanter-Sullivan (118),-79.314152746559,43.7734821572845,2015-06-26 23:00:00-0500
shooting,2015,November,24,Tuesday,20,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5875914951838,43.7368811905862,2015-11-24 20:00:00-0500
shooting,2015,April,15,Wednesday,21,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5879335838014,43.7452947843669,2015-04-15 21:00:00-0500
shooting,2015,October,5,Monday,22,N/A,17,Mimico (includes Humber Bay Shores) (17),-79.4778053645418,43.6270305199134,2015-10-05 22:00:00-0500
shooting,2015,March,7,Saturday,2,N/A,112,Beechborough-Greenbrook (112),-79.4793596124394,43.693661570606,2015-03-07 02:00:00-0500
shooting,2015,November,26,Thursday,0,N/A,17,Mimico (includes Humber Bay Shores) (17),-79.5086034822813,43.6172562344517,2015-11-26 00:00:00-0500
shooting,2015,September,27,Sunday,22,N/A,134,Highland Creek (134),-79.1647773738153,43.7987495544968,2015-09-27 22:00:00-0500
shooting,2015,July,6,Monday,0,N/A,132,Malvern (132),-79.2172998379838,43.80061558085,2015-07-06 00:00:00-0500
shooting,2015,September,20,Sunday,14,N/A,77,Waterfront Communities-The Island (77),-79.3863658209224,43.6480031222664,2015-09-20 14:00:00-0500
shooting,2015,June,18,Thursday,23,N/A,25,Glenfield-Jane Heights (25),-79.516689324964,43.7518500304016,2015-06-18 23:00:00-0500
shooting,2015,July,11,Saturday,3,N/A,126,Dorset Park (126),-79.2822541006483,43.7694153127368,2015-07-11 03:00:00-0500
shooting,2015,October,25,Sunday,14,N/A,11,Eringate-Centennial-West Deane (11),-79.5710708577593,43.6559651885858,2015-10-25 14:00:00-0500
shooting,2015,June,10,Wednesday,12,N/A,22,Humbermede (22),-79.5403342031062,43.7427195159093,2015-06-10 12:00:00-0500
shooting,2015,June,28,Sunday,3,N/A,110,Keelesdale-Eglinton West (110),-79.466449316939,43.6805957019196,2015-06-28 03:00:00-0500
shooting,2015,October,10,Saturday,4,N/A,111,Rockcliffe-Smythe (111),-79.4833132619185,43.6788649660212,2015-10-10 04:00:00-0500
shooting,2015,May,16,Saturday,23,N/A,113,Weston (113),-79.5161975699883,43.7001519748185,2015-05-16 23:00:00-0500
shooting,2015,April,9,Thursday,2,N/A,121,Oakridge (121),-79.2806967297516,43.7032252237751,2015-04-09 02:00:00-0500
shooting,2015,October,31,Saturday,9,N/A,75,Church-Yonge Corridor (75),-79.3841077349818,43.6684641050276,2015-10-31 09:00:00-0500
shooting,2015,January,12,Monday,0,N/A,26,Downsview-Roding-CFB (26),-79.5132003211001,43.7255096528998,2015-01-12 00:00:00-0500
shooting,2015,April,28,Tuesday,4,N/A,81,Trinity-Bellwoods (81),-79.4065721885579,43.6466767367956,2015-04-28 04:00:00-0500
shooting,2015,March,10,Tuesday,16,N/A,121,Oakridge (121),-79.2787127269617,43.6999947378225,2015-03-10 16:00:00-0500
shooting,2015,March,17,Tuesday,20,N/A,6,Kingsview Village-The Westway (6),-79.5486724115976,43.7013181009717,2015-03-17 20:00:00-0500
shooting,2015,November,29,Sunday,9,N/A,24,Black Creek (24),-79.5152277778151,43.7681488158175,2015-11-29 09:00:00-0500
shooting,2015,November,15,Sunday,8,N/A,137,Woburn (137),-79.2320179231837,43.7593103358992,2015-11-15 08:00:00-0500
shooting,2015,November,22,Sunday,0,N/A,120,Clairlea-Birchmount (120),-79.2683942481492,43.7137962586983,2015-11-22 00:00:00-0500
shooting,2015,July,19,Sunday,16,N/A,25,Glenfield-Jane Heights (25),-79.5164867401884,43.7525026291984,2015-07-19 16:00:00-0500
shooting,2015,July,20,Monday,1,N/A,69,Blake-Jones (69),-79.3404269454324,43.6724875655797,2015-07-20 01:00:00-0500
shooting,2015,September,7,Monday,21,N/A,25,Glenfield-Jane Heights (25),-79.511387055911,43.7501285096067,2015-09-07 21:00:00-0500
shooting,2015,July,9,Thursday,10,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5838009938212,43.7344785840102,2015-07-09 10:00:00-0500
shooting,2015,February,27,Friday,13,N/A,93,Dovercourt-Wallace Emerson-Junction (93),-79.4366746847188,43.6629609013202,2015-02-27 13:00:00-0500
shooting,2015,March,8,Sunday,23,N/A,32,Englemount-Lawrence (32),-79.4433388199293,43.7235415763588,2015-03-08 23:00:00-0500
shooting,2015,July,24,Friday,3,N/A,121,Oakridge (121),-79.2803634507735,43.6996535229792,2015-07-24 03:00:00-0500
shooting,2015,May,21,Thursday,19,N/A,8,Humber Heights-Westmount (8),-79.5165814324736,43.6938204457742,2015-05-21 19:00:00-0500
shooting,2015,August,9,Sunday,8,N/A,76,Bay Street Corridor (76),-79.3816311771376,43.6544211169732,2015-08-09 08:00:00-0500
shooting,2015,October,17,Saturday,16,N/A,1,West Humber-Clairville (1),-79.5955624929388,43.6867511941472,2015-10-17 16:00:00-0500
shooting,2015,November,20,Friday,3,N/A,24,Black Creek (24),-79.5196851774208,43.7659026187864,2015-11-20 03:00:00-0500
shooting,2015,March,24,Tuesday,3,N/A,22,Humbermede (22),-79.5421282157603,43.7508415742286,2015-03-24 03:00:00-0500
shooting,2015,September,18,Friday,16,N/A,25,Glenfield-Jane Heights (25),-79.5164867401884,43.7525026291984,2015-09-18 16:00:00-0500
shooting,2015,November,13,Friday,18,N/A,14,Islington-City Centre West (14),-79.5616690238921,43.6459039431846,2015-11-13 18:00:00-0500
shooting,2015,October,21,Wednesday,13,N/A,28,Rustic (28),-79.5047534079117,43.7157347228274,2015-10-21 13:00:00-0500
shooting,2015,May,24,Sunday,9,N/A,130,Milliken (130),-79.3022123364691,43.8190228513716,2015-05-24 09:00:00-0500
shooting,2015,March,22,Sunday,21,N/A,32,Englemount-Lawrence (32),-79.4414128618584,43.7231516709045,2015-03-22 21:00:00-0500
shooting,2015,February,12,Thursday,21,N/A,54,O'Connor-Parkview (54),-79.295755605662,43.7033659101641,2015-02-12 21:00:00-0500
shooting,2015,June,12,Friday,2,N/A,26,Downsview-Roding-CFB (26),-79.5081546254046,43.719071169774,2015-06-12 02:00:00-0500
shooting,2015,November,20,Friday,17,N/A,113,Weston (113),-79.5161975699883,43.7001519748185,2015-11-20 17:00:00-0500
shooting,2015,May,22,Friday,20,N/A,78,Kensington-Chinatown (78),-79.3999121488991,43.6514311299186,2015-05-22 20:00:00-0500
shooting,2015,August,3,Monday,22,N/A,28,Rustic (28),-79.5003028421864,43.7083769009575,2015-08-03 22:00:00-0500
shooting,2015,January,27,Tuesday,20,N/A,31,Yorkdale-Glen Park (31),-79.4492691055218,43.7205074959282,2015-01-27 20:00:00-0500
shooting,2015,May,16,Saturday,20,N/A,77,Waterfront Communities-The Island (77),-79.3930009570223,43.6405566189791,2015-05-16 20:00:00-0500
shooting,2015,October,16,Friday,0,N/A,8,Humber Heights-Westmount (8),-79.5259662128529,43.7004991037135,2015-10-16 00:00:00-0500
shooting,2015,November,4,Wednesday,22,N/A,56,Leaside-Bennington (56),-79.3553153450135,43.7166168092618,2015-11-04 22:00:00-0500
shooting,2015,September,14,Monday,1,N/A,113,Weston (113),-79.5156741123038,43.7023999222607,2015-09-14 01:00:00-0500
shooting,2015,March,23,Monday,4,N/A,6,Kingsview Village-The Westway (6),-79.5486724115976,43.7013181009717,2015-03-23 04:00:00-0500
shooting,2015,February,26,Thursday,21,N/A,75,Church-Yonge Corridor (75),-79.3781459596251,43.6544494455535,2015-02-26 21:00:00-0500
shooting,2015,December,12,Saturday,3,N/A,123,Cliffcrest (123),-79.2267906694501,43.7300167417828,2015-12-12 03:00:00-0500
shooting,2015,June,20,Saturday,1,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.588344443801,43.7562272550527,2015-06-20 01:00:00-0500
shooting,2015,June,12,Friday,19,N/A,24,Black Creek (24),-79.5152277778151,43.7681488158175,2015-06-12 19:00:00-0500
shooting,2015,September,8,Tuesday,21,N/A,118,Tam O'Shanter-Sullivan (118),-79.3169862630085,43.7786160013875,2015-09-08 21:00:00-0500
shooting,2015,November,17,Tuesday,19,N/A,1,West Humber-Clairville (1),-79.6038305262731,43.7311561900234,2015-11-17 19:00:00-0500
shooting,2015,May,11,Monday,0,N/A,131,Rouge (131),-79.2322944678891,43.825719026122,2015-05-11 00:00:00-0500
shooting,2015,December,11,Friday,16,N/A,77,Waterfront Communities-The Island (77),-79.3933190674697,43.6467261190266,2015-12-11 16:00:00-0500
shooting,2015,November,27,Friday,22,N/A,46,Pleasant View (46),-79.3330169210218,43.7912664644212,2015-11-27 22:00:00-0500
shooting,2015,August,1,Saturday,2,N/A,113,Weston (113),-79.5089539055742,43.6993706379752,2015-08-01 02:00:00-0500
shooting,2015,January,3,Saturday,5,N/A,76,Bay Street Corridor (76),-79.3821142086579,43.6590897743863,2015-01-03 05:00:00-0500
shooting,2015,January,17,Saturday,3,N/A,118,Tam O'Shanter-Sullivan (118),-79.3108097985988,43.7705558108229,2015-01-17 03:00:00-0500
shooting,2015,September,26,Saturday,1,N/A,8,Humber Heights-Westmount (8),-79.5165814324736,43.6938204457742,2015-09-26 01:00:00-0500
shooting,2015,December,31,Thursday,20,N/A,127,Bendale (127),-79.2467555885522,43.7552573269656,2015-12-31 20:00:00-0500
shooting,2015,October,4,Sunday,17,N/A,75,Church-Yonge Corridor (75),-79.374254671255,43.6495351393713,2015-10-04 17:00:00-0500
shooting,2015,July,6,Monday,23,N/A,31,Yorkdale-Glen Park (31),-79.4496849037397,43.7207963312889,2015-07-06 23:00:00-0500
shooting,2015,November,2,Monday,18,N/A,24,Black Creek (24),-79.5192881828067,43.7702662644401,2015-11-02 18:00:00-0500
shooting,2015,June,25,Thursday,23,N/A,2,Mount Olive-Silverstone-Jamestown (2),-79.5833113483634,43.7500337544561,2015-06-25 23:00:00-0500
shooting,2015,July,2,Thursday,13,N/A,130,Milliken (130),-79.2907547864172,43.8065736720675,2015-07-02 13:00:00-0500
shooting,2015,September,11,Friday,23,N/A,5,Elms-Old Rexdale (5),-79.5457114466577,43.7212655989983,2015-09-11 23:00:00-0500
shooting,2015,December,27,Sunday,2,N/A,91,Weston-Pellam Park (91),-79.4630465373074,43.6735298546348,2015-12-27 02:00:00-0500
shooting,2015,August,2,Sunday,1,N/A,81,Trinity-Bellwoods (81),-79.4202702204946,43.6549047428439,2015-08-02 01:00:00-0500
shooting,2015,March,12,Thursday,10,N/A,22,Humbermede (22),-79.5523127434795,43.7499385772347,2015-03-12 10:00:00-0500
shooting,2015,December,13,Sunday,2,N/A,25,Glenfield-Jane Heights (25),-79.507145963767,43.7409238128739,2015-12-13 02:00:00-0500
