,date,policy_rate
214,2022-06-28,1.75
215,2022-06-27,1.75
216,2022-06-24,1.75
217,2022-06-23,1.75
218,2022-06-22,1.75
219,2022-06-21,1.75
220,2022-06-20,1.75
221,2022-06-17,1.75
222,2022-06-16,1.75
223,2022-06-15,1.75
224,2022-06-14,1.75
225,2022-06-13,1.75
226,2022-06-10,1.75
227,2022-06-09,1.75
228,2022-06-08,1.75
229,2022-06-07,1.75
230,2022-06-06,1.75
231,2022-06-03,1.75
232,2022-06-02,1.75
233,2022-06-01,1.25
234,2022-05-31,1.25
235,2022-05-30,1.25
236,2022-05-27,1.25
237,2022-05-26,1.25
238,2022-05-25,1.25
239,2022-05-24,1.25
240,2022-05-23,1.25
241,2022-05-20,1.25
242,2022-05-19,1.25
243,2022-05-18,1.25
244,2022-05-17,1.25
245,2022-05-16,1.25
246,2022-05-13,1.25
247,2022-05-12,1.25
248,2022-05-11,1.25
249,2022-05-10,1.25
250,2022-05-09,1.25
251,2022-05-06,1.25
252,2022-05-05,1.25
253,2022-05-04,1.25
254,2022-05-03,1.25
255,2022-05-02,1.25
256,2022-04-29,1.25
257,2022-04-28,1.25
258,2022-04-27,1.25
259,2022-04-26,1.25
260,2022-04-25,1.25
261,2022-04-22,1.25
262,2022-04-21,1.25
263,2022-04-20,1.25
264,2022-04-19,1.25
265,2022-04-18,1.25
266,2022-04-15,1.25
267,2022-04-14,1.25
268,2022-04-13,0.75
269,2022-04-12,0.75
270,2022-04-11,0.75
271,2022-04-08,0.75
272,2022-04-07,0.75
273,2022-04-06,0.75
274,2022-04-05,0.75
275,2022-04-04,0.75
276,2022-04-01,0.75
277,2022-03-31,0.75
278,2022-03-30,0.75
279,2022-03-29,0.75
280,2022-03-28,0.75
281,2022-03-25,0.75
282,2022-03-24,0.75
283,2022-03-23,0.75
284,2022-03-22,0.75
285,2022-03-21,0.75
286,2022-03-18,0.75
287,2022-03-17,0.75
288,2022-03-16,0.75
289,2022-03-15,0.75
290,2022-03-14,0.75
291,2022-03-11,0.75
292,2022-03-10,0.75
293,2022-03-09,0.75
294,2022-03-08,0.75
295,2022-03-07,0.75
296,2022-03-04,0.75
297,2022-03-03,0.75
298,2022-03-02,0.5
299,2022-03-01,0.5
300,2022-02-28,0.5
301,2022-02-25,0.5
302,2022-02-24,0.5
303,2022-02-23,0.5
304,2022-02-22,0.5
305,2022-02-21,0.5
306,2022-02-18,0.5
307,2022-02-17,0.5
308,2022-02-16,0.5
309,2022-02-15,0.5
310,2022-02-14,0.5
311,2022-02-11,0.5
312,2022-02-10,0.5
313,2022-02-09,0.5
314,2022-02-08,0.5
315,2022-02-07,0.5
316,2022-02-04,0.5
317,2022-02-03,0.5
318,2022-02-02,0.5
319,2022-02-01,0.5
320,2022-01-31,0.5
321,2022-01-28,0.5
322,2022-01-27,0.5
323,2022-01-26,0.5
324,2022-01-25,0.5
325,2022-01-24,0.5
326,2022-01-21,0.5
327,2022-01-20,0.5
328,2022-01-19,0.5
329,2022-01-18,0.5
330,2022-01-17,0.5
331,2022-01-14,0.5
332,2022-01-13,0.5
333,2022-01-12,0.5
334,2022-01-11,0.5
335,2022-01-10,0.5
336,2022-01-07,0.5
337,2022-01-06,0.5
338,2022-01-05,0.5
339,2022-01-04,0.5
340,2022-01-03,0.5
341,2021-12-31,0.5
342,2021-12-30,0.5
343,2021-12-29,0.5
344,2021-12-28,0.5
345,2021-12-27,0.5
346,2021-12-24,0.5
347,2021-12-23,0.5
348,2021-12-22,0.5
349,2021-12-21,0.5
350,2021-12-20,0.5
351,2021-12-17,0.5
352,2021-12-16,0.5
353,2021-12-15,0.5
354,2021-12-14,0.5
355,2021-12-13,0.5
356,2021-12-10,0.5
357,2021-12-09,0.5
358,2021-12-08,0.5
359,2021-12-07,0.5
360,2021-12-06,0.5
